image_name,E,N,H,yaw,pitch,roll
Screenshot (1).jpg, 100.5665283, 13.84706688, 14.72900105, 29.9, -5.0, 0.0
Screenshot (2).jpg, 100.5665359, 13.84706593, 13.92000103, 31.4, -5.0, 0.0
Screenshot (3).jpg, 100.5665359, 13.84706497, 12.27900028, 33.0, -5.1, 0.0

Screenshot (4).jpg, 100.5665054, 13.84706497, 3.039000034, -34.7, -3.7, 0.0
Screenshot (5).jpg, 100.5665054, 13.84706593, 2.269000053, -34.7, -3.6, 0.0
Screenshot (6).jpg, 100.5665054, 13.84706879, 1.830000043, -34.7, -3.6, 0.0

Screenshot (7).jpg, 100.56642150, 13.84715080, 0.8000000119, -14.0, -1.2, 0.0
Screenshot (8).jpg, 100.5664215, 13.84715176, 0.6600000262, -14.3, -1.2, 0.0
Screenshot (9).jpg, 100.5664215, 13.84715271, 0.5790000558, -14.5, -1.2, 0.0

Screenshot (10).jpg, 100.5662537, 13.84690762, 5.920000076, 27.4, -2.3, 0.0
Screenshot (11).jpg, 100.5662537, 13.84690857, 5.949000359, 27.3, -2.3, 0.0
Screenshot (12).jpg, 100.5662537, 13.84690762, 5.989000320, 27.2, -2.3, 0.0

Screenshot (13).jpg, 100.5662918, 13.84687424, 11.36900043, -105.6, -6.5, 0.0
Screenshot (14).jpg, 100.5662918, 13.84687328, 11.21000099, -105.4, -6.5, 0.0
Screenshot (15).jpg, 100.5662918, 13.84687233, 10.94900036, -105.2, -6.5, 0.0

Screenshot (16).jpg, 100.5662994, 13.84688759, 15.15900040, -8.7, -8.8, 0.0
Screenshot (17).jpg, 100.5662994, 13.84688854, 13.82900047, -8.9, -8.8, 0.0
Screenshot (18).jpg, 100.5662994, 13.84688759, 11.77000046, -9.2, -8.9, 0.0

Screenshot (19).jpg, 100.5662689, 13.84680748, -0.7690000534, -9.5, -2.8, 0.0
Screenshot (20).jpg, 100.5662766, 13.84680843, -1.2590000630, -6.2, -2.8, 0.0
Screenshot (21).jpg, 100.5662766, 13.84680748, -0.9800000191, -8.1, -2.8, 0.0

Screenshot (22).jpg, 100.5662918, 13.84677505, 6.510000229, 5.0, -5.8, 0.0
Screenshot (23).jpg, 100.5662918, 13.84677410, 5.909000397, 6.1, -5.8, 0.0
Screenshot (24).jpg, 100.5662918, 13.84677410, 5.440000057, 8.1, -5.8, 0.0

Screenshot (25).jpg, 100.5663681, 13.84679127, -2.869000196, -75.3, -8.3, 0.0
Screenshot (26).jpg, 100.5663605, 13.84678841, -3.420000076, -75.2, -8.3, 0.0
Screenshot (27).jpg, 100.5663605, 13.84678936, -2.869000196, -75.2, -8.3, 0.0

Screenshot (28).jpg, 100.5661774, 13.84668636, 3.450000048, 7.0, -3.8, 0.0
Screenshot (29).jpg, 100.5661774, 13.84668446, 3.609000206, 8.6, -3.8, 0.0
Screenshot (30).jpg, 100.5661774, 13.84668541, 3.559000254, 7.8, -3.8, 0.0

Screenshot (31).jpg, 100.5662842, 13.84668159, -6.329000473, 11.5, -10.4, 0.0
Screenshot (32).jpg, 100.5662842, 13.84663255, -5.650000095, 11.4, -10.2, 0.0
Screenshot (33).jpg, 100.5662842, 13.84668636, -5.199000359, 11.4, -9.9, 0.0

Screenshot (34).jpg, 100.5662918, 13.84669399, -3.079000235, -58.8, -10.5, 0.0
Screenshot (35).jpg, 100.5662918, 13.84669209, -3.319000244, -58.8, -10.6, 0.0
